Col_Name,Data_Type,Computed.question.name
s_group_starts.CalcCurrEquipStat.26,factor,s_group_starts.CalcCurrEquipStat.26
s_group_starts.take_a_picture_of_s_current_equ.26,Image,s_group_starts.take_a_picture_of_s_current_equ.26
s_what_is_the_functional_status.26,factor,s_what_is_the_functional_status.26
s_current_equipment_name.27,factor,s_current_equipment_name.27
s_current_equipment_label.27,factor,s_current_equipment_label.27
s_group_starts.s_what_is_the_status_of_current.27,factor,s_group_starts.s_what_is_the_status_of_current.27
s_group_starts.CalcCurrEquipStat.27,factor,s_group_starts.CalcCurrEquipStat.27
s_group_starts.take_a_picture_of_s_current_equ.27,Image,s_group_starts.take_a_picture_of_s_current_equ.27
s_what_is_the_functional_status.27,factor,s_what_is_the_functional_status.27
s_what_is_the_status_of_current,factor,s_what_is_the_status_of_current
CalcCurrEquipStat,factor,CalcCurrEquipStat
take_a_picture_of_s_current_equ,Image,take_a_picture_of_s_current_equ
at_any_time_during_the_past_3,factor,At any time during the past 3 months has the newborn bag and mask for term babies been unavailable for this unit for any reason?
now_i_would_like_to_know_about,factor, Now I want to know about the availability of oxygen for patients in this unit.  Does this unit ever provide oxygen to patients?
is_there_any_oxygen_currently,factor,Is there any oxygen currently in the unit?
flowmeter_for_oxygen_therapy_wi,factor,flowmeter_for_oxygen_therapy_wi
oxygen_delivery_apparatus_key_c,factor,oxygen_delivery_apparatus_key_c
oxygen_analyzer,factor,oxygen_analyzer
pulse_oxymeter,factor,pulse_oxymeter
available_in_emergency_service_count,factor,available_in_emergency_service_count
general_equipment_name,factor,general_equipment_name
general_equipment_label,factor,general_equipment_label
is_general_equipment_label_avai,factor,is_general_equipment_label_avai
CalcGenEquipAvail,factor,CalcGenEquipAvail
group_4503.take_a_picture_of,Image,group_4503.take_a_picture_of
group_4503.is_general_equipment_label_func,factor,group_4503.is_general_equipment_label_func
general_equipment_name.1,factor,general_equipment_name.1
general_equipment_label.1,factor,general_equipment_label.1
is_general_equipment_label_avai.1,factor,is_general_equipment_label_avai.1
CalcGenEquipAvail.1,factor,CalcGenEquipAvail.1
group_4503.take_a_picture_of.1,Image,group_4503.take_a_picture_of.1
group_4503.is_general_equipment_label_func.1,factor,group_4503.is_general_equipment_label_func.1
general_equipment_name.2,factor,general_equipment_name.2
general_equipment_label.2,factor,general_equipment_label.2
is_general_equipment_label_avai.2,factor,is_general_equipment_label_avai.2
CalcGenEquipAvail.2,factor,CalcGenEquipAvail.2
group_4503.take_a_picture_of.2,Image,group_4503.take_a_picture_of.2
group_4503.is_general_equipment_label_func.2,factor,group_4503.is_general_equipment_label_func.2
general_equipment_name.3,factor,general_equipment_name.3
general_equipment_label.3,factor,general_equipment_label.3
is_general_equipment_label_avai.3,factor,is_general_equipment_label_avai.3
CalcGenEquipAvail.3,factor,CalcGenEquipAvail.3
group_4503.take_a_picture_of.3,Image,group_4503.take_a_picture_of.3
group_4503.is_general_equipment_label_func.3,factor,group_4503.is_general_equipment_label_func.3
take_a_picture_of,Image,take_a_picture_of
is_general_equipment_label_func,factor,is_general_equipment_label_func
was_there_any_time_in_the_last,factor,was_there_any_time_in_the_last
does_this_facility_stock_any_d,factor,does_this_facility_stock_any_d
pic_medicine_storage,factor,pic_medicine_storage
antibiotic_eye_ointment_erythro,factor,antibiotic_eye_ointment_erythro
hydralazine_injection,factor,hydralazine_injection
labetalol_inj_200mg_ampoule,factor,labetalol_inj_200mg_ampoule
magnesium_sulphate_injection,factor,magnesium_sulphate_injection
intravenous_infusion_set,factor,intravenous_infusion_set
iv_cannula,factor,iv_cannula
d5w_intra,factor,d5w_intra
sodium_chloride_09ns_intravenou,factor,sodium_chloride_09ns_intravenou
skin_disinfectant,factor,skin_disinfectant
X_chlorhexidine_solution_for_um,factor,X_chlorhexidine_solution_for_um
oxytocin_injection,factor,oxytocin_injection
availability_of_medicines_count,factor,availability_of_medicines_count
medine_name,factor,medine_name
medicine_label,factor,medicine_label
med_availability.what_is_the_availability_status,factor,med_availability.what_is_the_availability_status
med_availability.CalcMedAvail,factor,med_availability.CalcMedAvail
med_availability.snap_a_picture_of_medicine_labe,Image,med_availability.snap_a_picture_of_medicine_labe
is_any_stockout_in_the_last_3_m,factor,is_any_stockout_in_the_last_3_m
medine_name.1,factor,medine_name.1
medicine_label.1,factor,medicine_label.1
med_availability.what_is_the_availability_status.1,factor,med_availability.what_is_the_availability_status.1
med_availability.CalcMedAvail.1,factor,med_availability.CalcMedAvail.1
med_availability.snap_a_picture_of_medicine_labe.1,Image,med_availability.snap_a_picture_of_medicine_labe.1
is_any_stockout_in_the_last_3_m.1,factor,is_any_stockout_in_the_last_3_m.1
medine_name.2,factor,medine_name.2
medicine_label.2,factor,medicine_label.2
med_availability.what_is_the_availability_status.2,factor,med_availability.what_is_the_availability_status.2
med_availability.CalcMedAvail.2,factor,med_availability.CalcMedAvail.2
med_availability.snap_a_picture_of_medicine_labe.2,Image,med_availability.snap_a_picture_of_medicine_labe.2
is_any_stockout_in_the_last_3_m.2,factor,is_any_stockout_in_the_last_3_m.2
medine_name.3,factor,medine_name.3
medicine_label.3,factor,medicine_label.3
med_availability.what_is_the_availability_status.3,factor,med_availability.what_is_the_availability_status.3
med_availability.CalcMedAvail.3,factor,med_availability.CalcMedAvail.3
med_availability.snap_a_picture_of_medicine_labe.3,Image,med_availability.snap_a_picture_of_medicine_labe.3
is_any_stockout_in_the_last_3_m.3,factor,is_any_stockout_in_the_last_3_m.3
medine_name.4,factor,medine_name.4
medicine_label.4,factor,medicine_label.4
med_availability.what_is_the_availability_status.4,factor,med_availability.what_is_the_availability_status.4
med_availability.CalcMedAvail.4,factor,med_availability.CalcMedAvail.4
med_availability.snap_a_picture_of_medicine_labe.4,Image,med_availability.snap_a_picture_of_medicine_labe.4
is_any_stockout_in_the_last_3_m.4,factor,is_any_stockout_in_the_last_3_m.4
medine_name.5,factor,medine_name.5
medicine_label.5,factor,medicine_label.5
med_availability.what_is_the_availability_status.5,factor,med_availability.what_is_the_availability_status.5
med_availability.CalcMedAvail.5,factor,med_availability.CalcMedAvail.5
med_availability.snap_a_picture_of_medicine_labe.5,Image,med_availability.snap_a_picture_of_medicine_labe.5
is_any_stockout_in_the_last_3_m.5,factor,is_any_stockout_in_the_last_3_m.5
medine_name.6,factor,medine_name.6
medicine_label.6,factor,medicine_label.6
med_availability.what_is_the_availability_status.6,factor,med_availability.what_is_the_availability_status.6
med_availability.CalcMedAvail.6,factor,med_availability.CalcMedAvail.6
med_availability.snap_a_picture_of_medicine_labe.6,Image,med_availability.snap_a_picture_of_medicine_labe.6
is_any_stockout_in_the_last_3_m.6,factor,is_any_stockout_in_the_last_3_m.6
medine_name.7,factor,medine_name.7
medicine_label.7,factor,medicine_label.7
med_availability.what_is_the_availability_status.7,factor,med_availability.what_is_the_availability_status.7
med_availability.CalcMedAvail.7,factor,med_availability.CalcMedAvail.7
med_availability.snap_a_picture_of_medicine_labe.7,Image,med_availability.snap_a_picture_of_medicine_labe.7
is_any_stockout_in_the_last_3_m.7,factor,is_any_stockout_in_the_last_3_m.7
medine_name.8,factor,medine_name.8
medicine_label.8,factor,medicine_label.8
med_availability.what_is_the_availability_status.8,factor,med_availability.what_is_the_availability_status.8
med_availability.CalcMedAvail.8,factor,med_availability.CalcMedAvail.8
med_availability.snap_a_picture_of_medicine_labe.8,Image,med_availability.snap_a_picture_of_medicine_labe.8
is_any_stockout_in_the_last_3_m.8,factor,is_any_stockout_in_the_last_3_m.8
medine_name.9,factor,medine_name.9
medicine_label.9,factor,medicine_label.9
med_availability.what_is_the_availability_status.9,factor,med_availability.what_is_the_availability_status.9
med_availability.CalcMedAvail.9,factor,med_availability.CalcMedAvail.9
med_availability.snap_a_picture_of_medicine_labe.9,Image,med_availability.snap_a_picture_of_medicine_labe.9
is_any_stockout_in_the_last_3_m.9,factor,is_any_stockout_in_the_last_3_m.9
medine_name.10,factor,medine_name.10
medicine_label.10,factor,medicine_label.10
med_availability.what_is_the_availability_status.10,factor,med_availability.what_is_the_availability_status.10
med_availability.CalcMedAvail.10,factor,med_availability.CalcMedAvail.10
med_availability.snap_a_picture_of_medicine_labe.10,Image,med_availability.snap_a_picture_of_medicine_labe.10
is_any_stockout_in_the_last_3_m.10,factor,is_any_stockout_in_the_last_3_m.10
what_is_the_availability_status,factor,what_is_the_availability_status
CalcMedAvail,factor,CalcMedAvail
snap_a_picture_of_medicine_labe,Image,snap_a_picture_of_medicine_labe
is_the_oxytocin_stored_in_cold,factor, Is the oxytocin stored in cold storage?
are_healthy_newborns_routinely_,factor,Are healthy newborns routinely monitored postpartum for symptoms of possible risk?
reserved_name_for_field_list_labels_581,factor,reserved_name_for_field_list_labels_581
temperature,factor,Temperature
respiratory_rate,factor, Respiratory rate
jaundice,factor, Jaundice
umbilical_cord_status,factor,Umbilical cord status
feeding_status,factor,Feeding status
are_healthy_mothers_routinely_m,factor,Are healthy mothers routinely monitored postpartum for symptoms of possible risk?
reserved_name_for_field_list_labels_589,factor,reserved_name_for_field_list_labels_589
bp,factor,Blood pressure
temp,factor,Temperature
fundal_status,factor,Fundal status
check_pads_for_bleeding,factor,Check pads for bleeding
are_there_any_guidelines_or_job,factor,Are there any guidelines or job aids in this service site for postpartum care?
reserved_name_for_field_list_labels_596,factor,reserved_name_for_field_list_labels_596
any_guidelines_or_job_aids_for_,factor,Any guidelines or job aids for routine monitoring of the newborn
standard_records_with_preprinte,factor,"Standard records with preprinted columns for information to be recorded for newborn monitoring such as jaundice, feeding, respiratory rate, and temperature."
guideline_for_postpartum,factor, Any guidelines or job aids for routine monitoring of the postpartum woman?
is_kmc_kangaroo_mother_care_for,factor,IS KMC (Kangaroo mother care) for premature/very small babies) routinely used in this facility?
has_kmc_been_provided_at_any_ti,factor,Has KMC been provided at any time during the past 3 months?
are_there_any_job_aids_or_guide,factor,Are there any job aids or guidelines for KMC?
have_you_or_another_provider_re,factor,Have you or another provider received training in KMC during the past 2 years?
has_this_facility_ever_seen_cas,factor,"Has this facility ever seen cases of severely ill newborns, with possible severe bacteria infection or sepsis among inpatients?"
reserved_name_for_field_list_labels_609,factor,reserved_name_for_field_list_labels_609
immediate_referral_without_prov,factor, Immediate referral without providing any medicine?
provide_one_dose_injectable_ant,factor,Provide one dose injectable antibiotic and then refer?
prescribe_the_full_antibiotic_r,factor, Prescribe the full antibiotic regimen and follow up
job_aids,factor,Are there any job aids or guidelines related to newborn sepsis?
has_this_facility_had_a_newborn,factor,Has this facility had a newborn sepsis case within the last 3 months?
another_provider,factor,Have you or another provider received training related to newborn sepsis during the last 2 years?
are_maternal_death_reviews_carr,factor,Are maternal death reviews carried out on a routine basis?  
are_neonatal_death_reviews_carr,factor,Are neonatal death reviews carried out on a routine basis?  
are_perinatal_death_reviews_car,factor,Are perinatal death reviews carried out on a routine basis? This includes stillbirths.
is_a_delivery_register_maintain,factor,"Is a delivery register maintained where complications, maternal, and birth outcomes are recorded?"
reserved_name_for_field_list_labels_624,factor,reserved_name_for_field_list_labels_624
floor_swept_no_obvious_dirt_or_,factor," FLOOR: SWEPT, NO OBVIOUS DIRT OR WASTE"
counters_tables_chairs_wiped_cl,factor,COUNTERS/TABLES/CHAIRS: WIPED CLEAN- NO OBVIOUS DUST OR WASTE
needles_sharps_outside_sharps_b,factor,"NEEDLES, SHARPS OUTSIDE SHARPS BOX"
sharps_box_overflowing_or_torn_,factor,SHARPS BOX OVERFLOWING OR TORN/PIERCED
bandages_infectious_waste_lying,factor,BANDAGES/INFECTIOUS WASTE LYING UNCOVERED
were_staff_wearing_appropraite_,factor,WERE STAFF WEARING APPROPRAITE UNIFORMS IN THIS UNIT?
were_staff_wearing_id_badges_in,factor, WERE STAFF WEARING ID BADGES IN THIS UNIT?
were_non_smoking_signs_observed,factor,WERE NON-SMOKING SIGNS OBSERVED IN THIS UNIT?
s_does_this_facility_offer_blood_,factor,Does this facility offer blood transfusion services?
take_a_picture_of_the_facility,Image,Take a picture of the facility where blood is processed
reserved_name_for_field_list_labels_640,factor,reserved_name_for_field_list_labels_640
s_have_there_been_any_interruptio,factor, Have there been any interruptions in blood availability during the past 3 months?
s_does_this_facility_obtain_blood,factor,Does this facility obtain blood from a national or regional blood centre?
s_does_this_facility_obtain_any_b,factor,Does this facility obtain ANY blood from sources other than the national or regional blood centre?
s_does_any_place_in_this_facility,factor,Does any place in this facility do blood screening for infectious diseases prior to transfusion?
reserved_name_for_field_list_labels_647,factor,reserved_name_for_field_list_labels_647
s_hiv,factor, HIV
s_syphilis,factor, Syphilis
s_hepatitis_b,factor,Hepatitis B
s_hepatitis_c,factor,Hepatitis C
s_does_this_facility_have_a_refri,factor,Does this facility have a refrigerator available and functioning in this service area for the storage of blood?
s_do_you_have_any_guidelines_on_t,factor, Do you have any guidelines on the appropriate use of blood and safe transfusion practices
s_have_any_provider_s_of_blood_tr,factor,Have any provider(s) of blood transfusion services received any training in the appropriate use of blood and safe transfusion practices in the last two years?
s_interview_end_time,Time,INTERVIEW END TIME
s_last_visit_result,factor,RESULT CODES (LAST VISIT):
s_otha_speci,character,OTHER (SPECIFY)
s_about_resp,character,COMMENTS ABOUT THE RESPONDENT:
s_spec_quest,character,COMMENTS ON SPECIFIC QUESTIONS:
s_othr_comm,character,ANY OTHER COMMENTS:
s_supr_obser,character,SUPERVISOR'S OBSERVATIONS:
s_name_o_supr,factor,NAME OF SUPERVISOR:
s_outro_date,Date,DATE
last_Month_name,factor,last_Month_name
last2_Month_name,factor,last2_Month_name
last3_Month_name,factor,last3_Month_name
last_Month_label,factor,last_Month_label
last2_Month_label,factor,last2_Month_label
last3_Month_label,factor,last3_Month_label
outpatient_visits,factor,outpatient_visits
paediatric_0_59m___curative_car,factor,paediatric_0_59m___curative_car
line_,factor,line_
family_planning_new_acceptors,factor,family_planning_new_acceptors
antenatal_care_1st_visit,factor,antenatal_care_1st_visit
antenatal_care_total_visit,factor,antenatal_care_total_visit
antental_women_tested_for_hiv,factor,antental_women_tested_for_hiv
delivery_vaginal,factor,delivery_vaginal
deliveries_c_section,factor,deliveries_c_section
admissions_for__newborn_inpatie,factor,admissions_for__newborn_inpatie
total_newborn_inpatient_days,factor,total_newborn_inpatient_days
total_number_of_indicators,factor,total_number_of_indicators
Indicator_name_count,factor,Indicator_name_count
current_ind_name,factor,current_ind_name
current_ind_label,factor,current_ind_label
status_of_data_source_for_cur1,factor,status_of_data_source_for_cur1
status_of_data_source_for_cur2,factor,status_of_data_source_for_cur2
current_indicator_iteration,factor,current_indicator_iteration
status_of_data_source_for_cur,factor,status_of_data_source_for_cur
data_source_for_3_months_count,factor,data_source_for_3_months_count
current_ind_name.1,factor,current_ind_name.1
current_ind_label.1,factor,current_ind_label.1
status_of_data_source_for_cur1.1,factor,status_of_data_source_for_cur1.1
status_of_data_source_for_cur2.1,factor,status_of_data_source_for_cur2.1
current_indicator_iteration.1,factor,current_indicator_iteration.1
status_of_data_source_for_cur.1,factor,status_of_data_source_for_cur.1
data_source_for_3_months_count.1,factor,data_source_for_3_months_count.1
current_ind_name.2,factor,current_ind_name.2
current_ind_label.2,factor,current_ind_label.2
status_of_data_source_for_cur1.2,factor,status_of_data_source_for_cur1.2
status_of_data_source_for_cur2.2,factor,status_of_data_source_for_cur2.2
current_indicator_iteration.2,factor,current_indicator_iteration.2
status_of_data_source_for_cur.2,factor,status_of_data_source_for_cur.2
data_source_for_3_months_count.2,factor,data_source_for_3_months_count.2
current_ind_name.3,factor,current_ind_name.3
current_ind_label.3,factor,current_ind_label.3
status_of_data_source_for_cur1.3,factor,status_of_data_source_for_cur1.3
status_of_data_source_for_cur2.3,factor,status_of_data_source_for_cur2.3
current_indicator_iteration.3,factor,current_indicator_iteration.3
status_of_data_source_for_cur.3,factor,status_of_data_source_for_cur.3
data_source_for_3_months_count.3,factor,data_source_for_3_months_count.3
current_ind_name.4,factor,current_ind_name.4
current_ind_label.4,factor,current_ind_label.4
status_of_data_source_for_cur1.4,factor,status_of_data_source_for_cur1.4
status_of_data_source_for_cur2.4,factor,status_of_data_source_for_cur2.4
current_indicator_iteration.4,factor,current_indicator_iteration.4
status_of_data_source_for_cur.4,factor,status_of_data_source_for_cur.4
data_source_for_3_months_count.4,factor,data_source_for_3_months_count.4
current_ind_name.5,factor,current_ind_name.5
current_ind_label.5,factor,current_ind_label.5
status_of_data_source_for_cur1.5,factor,status_of_data_source_for_cur1.5
status_of_data_source_for_cur2.5,factor,status_of_data_source_for_cur2.5
current_indicator_iteration.5,factor,current_indicator_iteration.5
status_of_data_source_for_cur.5,factor,status_of_data_source_for_cur.5
data_source_for_3_months_count.5,factor,data_source_for_3_months_count.5
current_ind_name.6,factor,current_ind_name.6
current_ind_label.6,factor,current_ind_label.6
status_of_data_source_for_cur1.6,factor,status_of_data_source_for_cur1.6
status_of_data_source_for_cur2.6,factor,status_of_data_source_for_cur2.6
current_indicator_iteration.6,factor,current_indicator_iteration.6
status_of_data_source_for_cur.6,factor,status_of_data_source_for_cur.6
data_source_for_3_months_count.6,factor,data_source_for_3_months_count.6
current_ind_name.7,factor,current_ind_name.7
current_ind_label.7,factor,current_ind_label.7
status_of_data_source_for_cur1.7,factor,status_of_data_source_for_cur1.7
status_of_data_source_for_cur2.7,factor,status_of_data_source_for_cur2.7
current_indicator_iteration.7,factor,current_indicator_iteration.7
status_of_data_source_for_cur.7,factor,status_of_data_source_for_cur.7
data_source_for_3_months_count.7,factor,data_source_for_3_months_count.7
current_ind_name.8,factor,current_ind_name.8
current_ind_label.8,factor,current_ind_label.8
status_of_data_source_for_cur1.8,factor,status_of_data_source_for_cur1.8
status_of_data_source_for_cur2.8,factor,status_of_data_source_for_cur2.8
current_indicator_iteration.8,factor,current_indicator_iteration.8
status_of_data_source_for_cur.8,factor,status_of_data_source_for_cur.8
data_source_for_3_months_count.8,factor,data_source_for_3_months_count.8
current_ind_name.9,factor,current_ind_name.9
current_ind_label.9,factor,current_ind_label.9
status_of_data_source_for_cur1.9,factor,status_of_data_source_for_cur1.9
status_of_data_source_for_cur2.9,factor,status_of_data_source_for_cur2.9
current_indicator_iteration.9,factor,current_indicator_iteration.9
status_of_data_source_for_cur.9,factor,status_of_data_source_for_cur.9
data_source_for_3_months_count.9,factor,data_source_for_3_months_count.9
current_ind_name.10,factor,current_ind_name.10
current_ind_label.10,factor,current_ind_label.10
status_of_data_source_for_cur1.10,factor,status_of_data_source_for_cur1.10
status_of_data_source_for_cur2.10,factor,status_of_data_source_for_cur2.10
current_indicator_iteration.10,factor,current_indicator_iteration.10
status_of_data_source_for_cur.10,factor,status_of_data_source_for_cur.10
data_source_for_3_months_count.10,factor,data_source_for_3_months_count.10
data_source_for_3_months,factor,data_source_for_3_months
data_source_for_3_months.1,factor,data_source_for_3_months.1
data_source_for_3_months.2,factor,data_source_for_3_months.2
data_source_for_3_months.3,factor,data_source_for_3_months.3
data_source_for_3_months.4,factor,data_source_for_3_months.4
data_source_for_3_months.5,factor,data_source_for_3_months.5
data_source_for_3_months.6,factor,data_source_for_3_months.6
data_source_for_3_months.1..current_month,factor,data_source_for_3_months.1..current_month
data_source_for_3_months.1..current_month_full,factor,data_source_for_3_months.1..current_month_full
data_source_for_3_months.1..data_source_in_current_month,factor,data_source_for_3_months.1..data_source_in_current_month
data_source_for_3_months.1..for_current_month_is_the_inf,factor,data_source_for_3_months.1..for_current_month_is_the_inf
data_source_for_3_months.1..in_current_month_what_is_the,numeric,data_source_for_3_months.1..in_current_month_what_is_the
data_source_for_3_months.2..current_month,factor,data_source_for_3_months.2..current_month
data_source_for_3_months.2..current_month_full,factor,data_source_for_3_months.2..current_month_full
data_source_for_3_months.2..data_source_in_current_month,factor,data_source_for_3_months.2..data_source_in_current_month
data_source_for_3_months.2..for_current_month_is_the_inf,factor,data_source_for_3_months.2..for_current_month_is_the_inf
data_source_for_3_months.2..in_current_month_what_is_the,numeric,data_source_for_3_months.2..in_current_month_what_is_the
data_source_for_3_months.3..current_month,factor,data_source_for_3_months.3..current_month
data_source_for_3_months.3..current_month_full,factor,data_source_for_3_months.3..current_month_full
data_source_for_3_months.3..data_source_in_current_month,factor,data_source_for_3_months.3..data_source_in_current_month
data_source_for_3_months.3..for_current_month_is_the_inf,factor,data_source_for_3_months.3..for_current_month_is_the_inf
data_source_for_3_months.3..in_current_month_what_is_the,numeric,data_source_for_3_months.3..in_current_month_what_is_the
data_source_for_3_months.1..current_month.1,factor,data_source_for_3_months.1..current_month.1
data_source_for_3_months.1..current_month_full.1,factor,data_source_for_3_months.1..current_month_full.1
data_source_for_3_months.1..data_source_in_current_month.1,factor,data_source_for_3_months.1..data_source_in_current_month.1
data_source_for_3_months.1..for_current_month_is_the_inf.1,factor,data_source_for_3_months.1..for_current_month_is_the_inf.1
data_source_for_3_months.1..in_current_month_what_is_the.1,numeric,data_source_for_3_months.1..in_current_month_what_is_the.1
data_source_for_3_months.2..current_month.1,factor,data_source_for_3_months.2..current_month.1
data_source_for_3_months.2..current_month_full.1,factor,data_source_for_3_months.2..current_month_full.1
data_source_for_3_months.2..data_source_in_current_month.1,factor,data_source_for_3_months.2..data_source_in_current_month.1
data_source_for_3_months.2..for_current_month_is_the_inf.1,factor,data_source_for_3_months.2..for_current_month_is_the_inf.1
data_source_for_3_months.2..in_current_month_what_is_the.1,numeric,data_source_for_3_months.2..in_current_month_what_is_the.1
data_source_for_3_months.3..current_month.1,factor,data_source_for_3_months.3..current_month.1
data_source_for_3_months.3..current_month_full.1,factor,data_source_for_3_months.3..current_month_full.1
data_source_for_3_months.3..data_source_in_current_month.1,factor,data_source_for_3_months.3..data_source_in_current_month.1
data_source_for_3_months.3..for_current_month_is_the_inf.1,factor,data_source_for_3_months.3..for_current_month_is_the_inf.1
data_source_for_3_months.3..in_current_month_what_is_the.1,numeric,data_source_for_3_months.3..in_current_month_what_is_the.1
data_source_for_3_months.1..current_month.2,factor,data_source_for_3_months.1..current_month.2
data_source_for_3_months.1..current_month_full.2,factor,data_source_for_3_months.1..current_month_full.2
data_source_for_3_months.1..data_source_in_current_month.2,factor,data_source_for_3_months.1..data_source_in_current_month.2
data_source_for_3_months.1..for_current_month_is_the_inf.2,factor,data_source_for_3_months.1..for_current_month_is_the_inf.2
data_source_for_3_months.1..in_current_month_what_is_the.2,numeric,data_source_for_3_months.1..in_current_month_what_is_the.2
data_source_for_3_months.2..current_month.2,factor,data_source_for_3_months.2..current_month.2
data_source_for_3_months.2..current_month_full.2,factor,data_source_for_3_months.2..current_month_full.2
data_source_for_3_months.2..data_source_in_current_month.2,factor,data_source_for_3_months.2..data_source_in_current_month.2
data_source_for_3_months.2..for_current_month_is_the_inf.2,factor,data_source_for_3_months.2..for_current_month_is_the_inf.2
data_source_for_3_months.2..in_current_month_what_is_the.2,numeric,data_source_for_3_months.2..in_current_month_what_is_the.2
data_source_for_3_months.3..current_month.2,factor,data_source_for_3_months.3..current_month.2
data_source_for_3_months.3..current_month_full.2,factor,data_source_for_3_months.3..current_month_full.2
data_source_for_3_months.3..data_source_in_current_month.2,factor,data_source_for_3_months.3..data_source_in_current_month.2
data_source_for_3_months.3..for_current_month_is_the_inf.2,factor,data_source_for_3_months.3..for_current_month_is_the_inf.2
data_source_for_3_months.3..in_current_month_what_is_the.2,numeric,data_source_for_3_months.3..in_current_month_what_is_the.2
data_source_for_3_months.1..current_month.3,factor,data_source_for_3_months.1..current_month.3
data_source_for_3_months.1..current_month_full.3,factor,data_source_for_3_months.1..current_month_full.3
data_source_for_3_months.1..data_source_in_current_month.3,factor,data_source_for_3_months.1..data_source_in_current_month.3
data_source_for_3_months.1..for_current_month_is_the_inf.3,factor,data_source_for_3_months.1..for_current_month_is_the_inf.3
data_source_for_3_months.1..in_current_month_what_is_the.3,numeric,data_source_for_3_months.1..in_current_month_what_is_the.3
data_source_for_3_months.2..current_month.3,factor,data_source_for_3_months.2..current_month.3
data_source_for_3_months.2..current_month_full.3,factor,data_source_for_3_months.2..current_month_full.3
data_source_for_3_months.2..data_source_in_current_month.3,factor,data_source_for_3_months.2..data_source_in_current_month.3
data_source_for_3_months.2..for_current_month_is_the_inf.3,factor,data_source_for_3_months.2..for_current_month_is_the_inf.3
data_source_for_3_months.2..in_current_month_what_is_the.3,numeric,data_source_for_3_months.2..in_current_month_what_is_the.3
data_source_for_3_months.3..current_month.3,factor,data_source_for_3_months.3..current_month.3
data_source_for_3_months.3..current_month_full.3,factor,data_source_for_3_months.3..current_month_full.3
data_source_for_3_months.3..data_source_in_current_month.3,factor,data_source_for_3_months.3..data_source_in_current_month.3
data_source_for_3_months.3..for_current_month_is_the_inf.3,factor,data_source_for_3_months.3..for_current_month_is_the_inf.3
data_source_for_3_months.3..in_current_month_what_is_the.3,numeric,data_source_for_3_months.3..in_current_month_what_is_the.3
data_source_for_3_months.1..current_month.4,factor,data_source_for_3_months.1..current_month.4
data_source_for_3_months.1..current_month_full.4,factor,data_source_for_3_months.1..current_month_full.4
data_source_for_3_months.1..data_source_in_current_month.4,factor,data_source_for_3_months.1..data_source_in_current_month.4
data_source_for_3_months.1..for_current_month_is_the_inf.4,factor,data_source_for_3_months.1..for_current_month_is_the_inf.4
data_source_for_3_months.1..in_current_month_what_is_the.4,numeric,data_source_for_3_months.1..in_current_month_what_is_the.4
data_source_for_3_months.2..current_month.4,factor,data_source_for_3_months.2..current_month.4
data_source_for_3_months.2..current_month_full.4,factor,data_source_for_3_months.2..current_month_full.4
data_source_for_3_months.2..data_source_in_current_month.4,factor,data_source_for_3_months.2..data_source_in_current_month.4
data_source_for_3_months.2..for_current_month_is_the_inf.4,factor,data_source_for_3_months.2..for_current_month_is_the_inf.4
data_source_for_3_months.2..in_current_month_what_is_the.4,factor,data_source_for_3_months.2..in_current_month_what_is_the.4
data_source_for_3_months.3..current_month.4,factor,data_source_for_3_months.3..current_month.4
data_source_for_3_months.3..current_month_full.4,factor,data_source_for_3_months.3..current_month_full.4
data_source_for_3_months.3..data_source_in_current_month.4,factor,data_source_for_3_months.3..data_source_in_current_month.4
data_source_for_3_months.3..for_current_month_is_the_inf.4,factor,data_source_for_3_months.3..for_current_month_is_the_inf.4
data_source_for_3_months.3..in_current_month_what_is_the.4,numeric,data_source_for_3_months.3..in_current_month_what_is_the.4
data_source_for_3_months.1..current_month.5,factor,data_source_for_3_months.1..current_month.5
data_source_for_3_months.1..current_month_full.5,factor,data_source_for_3_months.1..current_month_full.5
data_source_for_3_months.1..data_source_in_current_month.5,factor,data_source_for_3_months.1..data_source_in_current_month.5
data_source_for_3_months.1..for_current_month_is_the_inf.5,factor,data_source_for_3_months.1..for_current_month_is_the_inf.5
data_source_for_3_months.1..in_current_month_what_is_the.5,numeric,data_source_for_3_months.1..in_current_month_what_is_the.5
data_source_for_3_months.2..current_month.5,factor,data_source_for_3_months.2..current_month.5
data_source_for_3_months.2..current_month_full.5,factor,data_source_for_3_months.2..current_month_full.5
data_source_for_3_months.2..data_source_in_current_month.5,factor,data_source_for_3_months.2..data_source_in_current_month.5
data_source_for_3_months.2..for_current_month_is_the_inf.5,factor,data_source_for_3_months.2..for_current_month_is_the_inf.5
data_source_for_3_months.2..in_current_month_what_is_the.5,numeric,data_source_for_3_months.2..in_current_month_what_is_the.5
data_source_for_3_months.3..current_month.5,factor,data_source_for_3_months.3..current_month.5
data_source_for_3_months.3..current_month_full.5,factor,data_source_for_3_months.3..current_month_full.5
data_source_for_3_months.3..data_source_in_current_month.5,factor,data_source_for_3_months.3..data_source_in_current_month.5
data_source_for_3_months.3..for_current_month_is_the_inf.5,factor,data_source_for_3_months.3..for_current_month_is_the_inf.5
data_source_for_3_months.3..in_current_month_what_is_the.5,numeric,data_source_for_3_months.3..in_current_month_what_is_the.5
data_source_for_3_months.1..current_month.6,factor,data_source_for_3_months.1..current_month.6
